Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,Battery voltage
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%03.02f,%02.1f,%02.2f,%02.2f,%04d,%02.1f
W M,2023,05,13,03,36,21,54409,49493,687.20,45.00,8.60,21.50,0999,11.6
W M,2023,05,13,03,46,26,54409,49473,691.95,45.00,8.60,21.50,0998,11.6
W M,2023,05,13,03,56,31,54409,49505,686.04,45.00,8.60,21.50,0998,11.5
W M,2023,05,13,04,07,28,54415,49555,677.75,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,04,17,33,54415,49495,689.11,45.00,8.60,21.60,0998,11.5
W M,2023,05,13,04,27,37,54415,49492,689.24,45.00,8.60,21.60,0998,11.4
W M,2023,05,13,04,37,42,54415,49502,688.03,45.00,8.60,21.60,0997,11.6
W M,2023,05,13,04,47,47,54415,49476,692.86,45.00,8.60,21.70,0997,11.5
W M,2023,05,13,04,57,52,54415,49457,696.43,45.00,8.60,21.70,0998,11.6
W M,2023,05,13,05,07,57,54415,49487,690.56,45.00,8.60,21.70,0998,11.5
W M,2023,05,13,05,18,01,54415,49498,688.28,45.00,8.60,21.60,0998,11.6
W M,2023,05,13,05,28,06,54415,49525,683.01,45.00,8.60,21.60,0998,11.6
W M,2023,05,13,05,38,11,54415,49528,681.97,45.00,8.60,21.60,0998,11.4
W M,2023,05,13,05,48,16,54415,49531,681.17,45.00,8.60,21.60,0999,11.5
W M,2023,05,13,05,58,21,54415,49544,678.30,45.00,8.60,21.60,0999,11.5
W M,2023,05,13,06,08,25,54415,49550,676.92,45.00,8.60,21.60,0999,11.5
W M,2023,05,13,06,18,30,54415,49575,672.14,45.00,8.60,21.60,0999,11.6
W M,2023,05,13,06,28,35,54415,49522,682.54,45.00,8.60,21.60,0999,11.5
W M,2023,05,13,06,38,40,54415,49556,676.46,45.00,8.60,21.50,0999,11.5
W M,2023,05,13,06,48,45,54415,49561,675.45,45.00,8.60,21.50,0999,11.5
W M,2023,05,13,06,58,50,54415,49554,676.39,45.00,8.60,21.40,0999,11.6
W M,2023,05,13,07,08,54,54415,49561,674.56,45.00,8.60,21.40,1000,11.5
W M,2023,05,13,07,18,59,54415,49574,671.93,45.00,8.60,21.40,1000,11.6
W M,2023,05,13,07,29,04,54415,49596,667.52,45.00,8.60,21.40,1000,11.5
W M,2023,05,13,07,39,09,54415,49590,668.66,45.00,8.60,21.40,1000,11.5
W M,2023,05,13,07,49,14,54415,49584,670.96,45.00,8.60,21.30,0999,11.5
W M,2023,05,13,07,59,19,54415,49594,667.96,45.00,8.60,21.30,1000,11.4
W M,2023,05,13,08,09,23,54415,49604,666.07,45.00,8.60,21.40,1000,11.5
W M,2023,05,13,08,19,28,54415,49613,665.65,45.00,8.60,21.30,0999,11.4
W M,2023,05,13,08,29,33,54415,49629,663.68,45.00,8.60,21.30,0998,11.5
W M,2023,05,13,08,39,38,54415,49617,666.00,45.00,8.60,21.30,0998,11.5
W M,2023,05,13,08,49,43,54415,49606,668.08,45.00,8.60,21.30,0997,11.5
W M,2023,05,13,08,59,48,54415,49609,667.36,45.00,8.60,21.30,0998,11.6
W M,2023,05,13,09,09,52,54415,49608,667.43,45.00,8.60,21.30,0998,11.6
W M,2023,05,13,09,19,57,54415,49605,667.58,45.00,8.60,21.30,0998,11.5
W M,2023,05,13,09,30,02,54415,49600,667.62,45.00,8.60,21.30,0999,11.5
W M,2023,05,13,09,40,07,54415,49604,666.91,45.00,8.60,21.30,0999,11.6
W M,2023,05,13,09,50,11,54415,49608,665.91,45.00,8.60,21.30,1000,11.6
W M,2023,05,13,10,01,09,54417,50014,592.33,45.00,8.50,21.30,0999,11.4
W M,2023,05,13,10,11,13,54417,49546,677.88,45.00,8.50,21.30,1000,11.5
W M,2023,05,13,10,21,18,54417,49570,672.87,45.00,8.60,21.30,1000,11.5
W M,2023,05,13,10,31,23,54417,49565,673.56,45.00,8.60,21.30,1000,11.5
W M,2023,05,13,10,41,27,54417,49588,669.03,45.00,8.60,21.30,1001,11.5
W M,2023,05,13,10,51,32,54417,49600,666.41,45.00,8.60,21.30,1001,11.7
W M,2023,05,13,11,01,37,54417,49617,663.08,45.00,8.60,21.30,1001,11.6
W M,2023,05,13,11,11,42,54417,49658,655.14,45.00,8.60,21.30,1001,11.5
W M,2023,05,13,11,21,46,54417,49706,646.78,45.00,8.60,21.30,1001,11.4
W M,2023,05,13,11,31,51,54417,49726,643.56,45.00,8.60,21.30,1000,11.4
W M,2023,05,13,11,41,56,54417,49768,635.88,45.00,8.60,21.30,1000,11.5
W M,2023,05,13,11,52,01,54417,49834,623.73,45.00,8.60,21.30,1000,11.5
W M,2023,05,13,12,02,05,54417,49865,617.61,45.00,8.60,21.30,1001,11.6
W M,2023,05,13,12,12,10,54417,49855,619.17,45.00,8.60,21.30,1001,11.5
W M,2023,05,13,12,22,15,54417,49864,617.72,45.00,8.60,21.30,1001,11.5
W M,2023,05,13,12,32,20,54417,49926,607.19,45.00,8.60,21.30,1000,11.6
W M,2023,05,13,12,42,25,54417,50016,593.15,45.00,8.60,21.30,0998,11.5
W M,2023,05,13,12,52,29,54417,49970,601.78,45.00,8.60,21.30,0997,11.5
W M,2023,05,13,13,02,34,54417,50006,595.14,45.00,8.60,21.30,0997,11.6
W M,2023,05,13,13,12,39,54417,49987,598.55,45.00,8.60,21.30,0997,11.6
W M,2023,05,13,13,22,44,54417,49960,603.07,45.00,8.60,21.30,0998,11.6
W M,2023,05,13,13,32,48,54417,49988,597.48,45.00,8.60,21.30,0998,11.5
W M,2023,05,13,13,42,53,54417,50021,591.43,45.00,8.60,21.40,0999,11.6
W M,2023,05,13,13,52,58,54417,50062,584.11,45.00,8.60,21.30,0999,11.6
W M,2023,05,13,14,03,03,54417,50012,592.83,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,14,13,07,54417,50021,591.36,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,14,23,12,54417,50001,595.04,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,14,33,17,54417,49993,596.28,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,14,43,22,54417,50004,594.40,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,14,53,27,54417,50000,594.92,45.00,8.60,21.40,0999,11.6
W M,2023,05,13,15,03,31,54417,50003,594.25,45.00,8.60,21.40,0999,11.7
W M,2023,05,13,15,13,36,54417,49985,597.75,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,15,23,41,54417,49960,602.13,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,15,33,46,54417,50062,583.75,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,15,43,50,54417,50047,586.17,45.00,8.60,21.40,0999,11.5
W M,2023,05,13,15,53,55,54417,50040,588.12,45.00,8.60,21.40,0999,11.4
W M,2023,05,13,16,04,52,54412,50064,582.84,45.00,8.50,21.40,0999,11.5
W M,2023,05,13,16,14,57,54412,50007,594.45,45.00,8.60,21.40,0997,11.5
W M,2023,05,13,16,25,02,54412,49992,596.97,45.00,8.60,21.40,0997,11.4
W M,2023,05,13,16,35,07,54412,50029,590.53,45.00,8.60,21.40,0997,11.4
W M,2023,05,13,16,45,11,54412,50050,586.96,45.00,8.60,21.40,0997,11.5
W M,2023,05,13,16,55,16,54412,50066,583.94,45.00,8.60,21.40,0997,11.5
W M,2023,05,13,17,05,21,54412,50093,578.65,45.00,8.60,21.40,0998,11.6
W M,2023,05,13,17,15,26,54412,50101,577.13,45.00,8.60,21.40,0998,11.6
W M,2023,05,13,17,25,30,54412,50107,576.41,45.00,8.60,21.40,0997,11.5
