HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:37:44;991.43;990.97;10887;872;0;7000;14400;14.083;21.98;18.499;51.691;
2023-07-13;17:37:45;992.18;991.17;10887;872;0;7000;14839;14.515;22.006;18.499;51.815;
2023-07-13;17:37:46;992.35;991.26;10887;872;0;7000;14650;14.332;22.015;18.499;51.909;
2023-07-13;17:37:47;991.8;991.21;10887;872;0;7000;14839;14.516;22.02;18.499;52.033;
2023-07-13;17:37:48;991.68;991.25;10887;872;0;7000;14740;14.419;22.025;18.509;52.127;
2023-07-13;17:37:49;992.13;991.14;10887;872;0;7000;14530;14.212;22.041;18.499;52.188;
2023-07-13;17:37:50;991.95;991.08;10887;872;0;7000;14690;14.368;22.02;18.499;52.188;
2023-07-13;17:37:51;991.47;991.06;10887;872;0;7000;14650;14.329;22.064;18.499;52.312;
2023-07-13;17:37:52;991.72;991.23;10887;872;0;7000;14940;14.615;22.073;18.48;52.402;
2023-07-13;17:37:53;992.2;991.18;10887;872;0;7000;14910;14.585;22.061;18.499;52.498;
2023-07-13;17:37:54;992.21;991.22;10887;872;0;7000;14559;14.242;22.08;18.509;52.592;
2023-07-13;17:37:55;991.76;991.28;10887;872;0;7000;14980;14.655;22.07;18.499;52.684;
2023-07-13;17:37:56;991.72;991.33;10887;872;0;7000;14599;14.283;22.091;18.499;52.684;
2023-07-13;17:37:57;992.29;991.37;10887;872;0;7000;15040;14.715;22.097;18.499;52.777;
2023-07-13;17:37:58;992.39;991.43;10887;872;0;7000;14759;14.441;22.118;18.509;52.871;
2023-07-13;17:37:59;991.94;991.55;10887;872;0;7000;14820;14.502;22.119;18.509;52.933;
2023-07-13;17:38:00;991.91;991.54;10887;872;0;7000;14750;14.433;22.131;18.499;53.024;
2023-07-13;17:38:01;992.58;991.62;10887;872;0;7000;14839;14.522;22.13;18.509;53.119;
2023-07-13;17:38:02;992.58;991.62;10887;872;0;7000;14599;14.287;22.15;18.509;53.119;
2023-07-13;17:38:03;992.09;991.65;10887;872;0;7000;14809;14.493;22.159;18.509;53.211;
2023-07-13;17:38:04;992.21;991.72;10887;872;0;7000;15030;14.71;22.158;18.499;53.272;
2023-07-13;17:38:05;992.64;991.7;10887;872;0;7000;14740;14.426;22.173;18.519;53.337;
2023-07-13;17:38:06;992.61;991.67;10887;872;0;7000;14820;14.504;22.169;18.519;53.429;
2023-07-13;17:38:07;992.06;991.73;10887;872;0;7000;14870;14.554;22.19;18.519;53.491;
2023-07-13;17:38:08;992.17;991.66;10887;872;0;7000;14730;14.416;22.196;18.519;53.491;
2023-07-13;17:38:09;992.83;991.8;10887;872;0;7000;14650;14.339;22.202;18.509;53.613;
2023-07-13;17:38:10;992.64;991.91;10887;872;0;7000;14750;14.439;22.203;18.509;53.675;
2023-07-13;17:38:11;992.56;992.09;10887;872;0;7000;14650;14.344;22.234;18.499;53.766;
2023-07-13;17:38:12;992.8;992.26;10887;872;0;7000;14820;14.512;22.22;18.509;53.829;
2023-07-13;17:38:13;993.13;992.22;10887;872;0;7000;14860;14.551;22.245;18.509;53.829;
2023-07-13;17:38:14;993.08;992.18;10887;872;0;7000;14710;14.404;22.249;18.519;53.892;
2023-07-13;17:38:15;992.58;992.18;10887;872;0;7000;14799;14.491;22.261;18.509;53.953;
2023-07-13;17:38:16;992.58;992.15;10887;872;0;7000;14849;14.539;22.254;18.519;54.016;
2023-07-13;17:38:17;993.08;992.06;10887;872;0;7000;14730;14.421;22.275;18.519;54.108;
2023-07-13;17:38:18;993.17;992.14;10887;872;0;7000;14799;14.49;22.247;18.509;54.199;
